Days,c,kxmax,p50,L,ps
138,0.5309087199078869,0.5722416305767432,0.6217248321192159,0.7554807205201035,0.9284121114736379
139,0.46561637896550595,0.548542183717116,0.6422501530218367,0.7201769288182791,0.8417951329771998
140,0.839056204465393,0.09758825524645277,0.638386019553972,0.7465422635061344,0.9505689645996165
141,0.5037079749080127,0.5511342618888726,0.5298381513555492,0.5586889990534457,0.8460672368429082
142,0.4906652477982158,0.5425678998873208,0.5956033545769381,0.6686779857290743,0.855618779405349
143,0.5550765763446336,0.5711966618046116,0.6160171355562133,0.7028764138731107,0.8962188976514515
144,0.5519370684553725,0.5592266240815401,0.7002244988042494,0.7171454992655549,0.8992911151574264
145,0.46760315645090167,0.551276563692769,0.7080243456550327,0.7185630616439236,0.8250144458082376
146,0.48518944695804017,0.6042691739587591,0.6665579345553632,0.703752009949014,0.9341386980387761
147,0.4498183703827736,0.5194167977624427,0.5754704005495278,0.597784874720013,0.8808468458462617
148,0.5390297133692492,0.5464537157410233,0.7045102211236712,0.6785435387960216,0.9116697539706677
149,0.4806075787006433,0.49352016249013525,0.6939377563598005,0.6210077978794794,0.8608266900384457
150,0.5577048573746505,0.6009372511110085,0.6398248672985262,0.6464872562709562,0.877446939356203
151,0.5250474557813891,0.5730880853646044,0.5781389941113904,0.6805106264509647,0.8659364008673209
152,0.23712136458663077,0.6227470744279724,0.3075582866182566,0.9064099763805517,0.9331858523871999
153,0.2368743856755545,0.6226366270959574,0.30738860843745613,0.9065531027175473,0.9330090562027173
154,0.5165597157798281,0.5267496190116493,0.599560076499454,0.6342785301539842,0.9225412678077989
155,0.5390364617947747,0.5464017945960344,0.7045436433499386,0.6785457688010818,0.9116504591250185
156,0.009341601691753413,0.011216183811953094,0.8400593018652929,0.1543004464563492,0.8427862514968866
157,0.007213574489258266,0.009060736533755765,0.8406021317548497,0.15426061641592514,0.8434940075843863
158,0.46174014953627374,0.4861758906378222,0.6260109733200853,0.6144632833858442,0.8790719469337216
159,0.23833121512345962,0.6232777173265833,0.3083958829303371,0.9057146007172964,0.9340272342219611
160,0.4515678788020619,0.6250717413835921,0.6621458762421797,0.7022749193775831,0.936129640109258
161,0.4673255904668958,0.6820821387807725,0.640979223102861,0.598700960041657,0.9540514182407794
162,0.8388699111973376,0.09816856707052968,0.6383921179297719,0.7463209734768443,0.9507364807564344
163,0.0033640821927156607,0.0036123117781581733,0.006278235901829864,0.9878565042700818,0.001723382642908834
164,0.0023705455305311437,0.001418970777559409,0.0044191461192570934,0.9904961907243278,0.0010771057143389058
165,0.5057188698509896,0.5379513209498354,0.6243151889176467,0.6929780700874497,0.889767486705625
166,0.5229930797811507,0.5389128274077689,0.6158672418950409,0.7421788154195973,0.8882945769111656
167,0.5189013606954023,0.6102810271541138,0.6535565806210718,0.6715028058870504,0.9443168268987645
